transcript_id	C4_R1	C4_R2	C4_R3	C3_R1	C3_R2	C3_R3	transcript_length	gene_id	HGNC symbol
ENST00000530721	2254.1381209785905	2631.712186885686	3052.9275193672192	2031.8838954742048	2846.3435236299415	2536.727306118994	796	ENSG00000149273	RPS3
ENST00000532829	2234.604861698014	2009.8312226069686	1806.1469651002535	1970.353091102509	595.5478955316843	532.3109901414857	912	ENSG00000167996	FTH1
ENST00000504293	2211.164950561321	3016.9481824565723	3155.141060302619	2284.843869002285	3064.7679666902723	3321.56318646237	576	ENSG00000186468	RPS23
ENST00000370321	2194.236125851487	2588.7858902363587	2857.486243292938	2161.782260258895	2655.2221359521513	2926.993045521916	1028	ENSG00000122406	RPL5
ENST00000361575	2135.6363480097566	2532.6515023103148	2986.657201617894	1984.0266031851081	2918.0140440091127	2924.123444496895	390	ENSG00000198918	RPL39
ENST00000380384	2116.103088729179	2625.1081412473272	3067.5294537865625	2092.04734863764	2402.668873663644	2779.208592733309	1355	ENSG00000137154	RPS6
ENST00000362079	2113.4986541584353	2189.2411291156964	2280.148220866614	1888.3120186069154	4131.293567570796	3546.826866926557	784	ENSG00000198938	MT-CO3
ENST00000504562	2077.0365701680253	2574.4771246865826	2587.912069397378	1847.2914823591186	3189.3381568731184	2559.684114319166	505	ENSG00000145592	RPL37
ENST00000570308	2075.7343528826536	1374.7421670515353	1051.339278192685	3166.785398329918	2515.293977116627	2272.724011817016	3235	ENSG00000087245	MMP2
ENST00000639739	2065.316614599679	1950.3948118617463	2009.4508212464887	1989.4960080181477	2090.3901777258266	2320.0724287298717	3771	ENSG00000113083	LOX
ENST00000599539	2060.1077454581914	2610.799375697552	2896.799143652708	2126.2311288441374	2622.7997576853836	2681.642157882579	555	ENSG00000105193	RPS16
ENST00000643579	1988.4857947627424	1677.4275921429467	1468.0560220062382	2133.0678848854363	1604.0545037243076	1592.628568886925	2474	ENSG00000167460	TPM4
ENST00000359681	1974.161404623653	2740.678939918593	2864.2255976403276	1758.4136538222253	2836.104877861488	3010.2114752475395	742	ENSG00000197756	RPL37A
ENST00000315274	1961.1392317699351	1844.7300816480174	1926.3321176286909	656.3285799647498	452.20685477334206	497.8757778412279	1971	ENSG00000196611	MMP1
ENST00000456586	1919.4682786380372	2679.0411806272514	2779.983668297965	1702.3522542835697	2766.1407984437255	3010.2114752475395	401	ENSG00000197756	RPL37A
ENST00000552361	1911.654974925806	3002.6394169067967	2856.363017568374	2008.6389249337863	3129.6127232238086	3060.429493185415	623	ENSG00000197728	RPS26
ENST00000648006	1894.7261502159731	1743.4680485265271	1879.1566371969677	1956.6795790199103	2247.382746175439	2512.335697406311	943	ENSG00000166710	B2M
ENST00000379412	1893.423932930601	1955.8981832270445	2007.2043697973588	1752.944248989186	1713.2667252544732	1836.5446560137511	1922	ENSG00000134333	LDHA
ENST00000673204	1893.423932930601	1955.8981832270445	2007.2043697973588	1752.944248989186	1713.2667252544732	1836.5446560137511	1922	ENSG00000288299	LDHA
ENST00000451311	1890.8194983598578	3288.8147279023124	3338.2268534066875	2025.0471394329052	2894.123870549389	3697.4809207401854	622	ENSG00000205542	TMSB4X
ENST00000317840	1854.357414369447	986.20414866147	845.7889705973201	2528.2323840725467	2342.9434400143346	1586.8893668368821	3873	ENSG00000168542	COL3A1
ENST00000343986	1830.9175032327546	2502.9332969377037	2774.367539675141	1628.5152890375352	2824.1597911316267	2766.2953881207122	358	ENSG00000171858	RPS21
ENST00000348462	1820.49976494978	2327.9260875212153	2580.049489325424	1400.1676372581328	1969.2328694657988	1965.676702139718	452	ENSG00000136942	RPL35
ENST00000274065	1816.593113093665	2138.6101125549512	2591.2817465710727	1852.760887192158	2325.8790304002455	2388.9428533303876	869	ENSG00000145425	RPS3A
ENST00000551150	1815.2908958082928	2180.4357349312186	2477.835948390025	1653.1276107862134	2075.032209073147	2221.0711933666303	1344	ENSG00000089157	RPLP0
ENST00000446046	1813.988678522921	1591.5749988442917	680.6747890862895	3043.723789586528	1552.8612748820422	1311.4076684348195	7952	ENSG00000115414	FN1
ENST00000680032	1812.6864612375493	1271.2787853839259	1153.5528191280848	1353.6776961772964	1460.7134629659652	1532.3669473614736	2231	ENSG00000044574	HSPA5
ENST00000368719	1806.1753748106903	2780.303213748742	3265.217181309973	1043.2889719023003	3155.209337644941	3123.5607157358877	434	ENSG00000197956	S100A6
ENST00000228306	1794.4554192423439	2228.8654029458444	2517.1488487497936	1605.2703184971172	2047.7291536906052	2146.4615667160715	1257	ENSG00000089157	RPLP0
ENST00000245185	1791.8509846716004	3134.7203296739576	2647.443032799314	1158.1464733961313	812.2658976306067	776.2270772683121	401	ENSG00000125148	MT2A
ENST00000676659	1768.411073534908	1515.628474003174	1413.0179615025615	1830.88326786	1385.6300606639763	1331.4948756099695	3779	ENSG00000150093	ITGB1
ENST00000355968	1738.4600759713567	2271.791699595172	2555.338523384998	1661.3317180357728	1639.8897639138931	1716.0214129628487	818	ENSG00000196262	PPIA
ENST00000448864	1716.322382120036	2180.4357349312186	2458.7411110724215	1744.7401417396263	2532.3583867307148	2674.468155320025	553	ENSG00000182899	RPL35A
ENST00000287038	1704.6024265516896	2083.576398901967	2255.4372549261875	1550.5762701667213	2387.310905010964	2420.508464605624	498	ENSG00000156482	RPL30
ENST00000225655	1703.3002092663178	2249.778214133978	2258.8069320998816	1744.7401417396263	1750.8084264054676	1898.241078051713	807	ENSG00000108518	PFN1
ENST00000449470	1698.0913401248301	2104.489210090101	2295.8733810105214	1765.250409863525	1645.0090867981196	1859.5014642139236	1127	ENSG00000163682	RPL9
ENST00000506395	1655.1181697075613	2010.9318968800283	1976.8772752341083	1423.4126077985513	1383.923619702568	1628.4985816996932	1606	ENSG00000164111	ANXA5
ENST00000315377	1617.3538684317787	2013.1332454261471	2179.0579056557785	1774.8218683213443	2056.2613584976493	2150.7659682536037	863	ENSG00000137154	RPS6
ENST00000312037	1601.7272610073176	1975.710320142119	2395.8404704967916	1553.3109725832414	1994.8294838869315	2284.202415917103	712	ENSG00000164587	RPS14
ENST00000542996	1599.1228264365736	1362.634750047879	1342.2547408549772	1345.4735889277372	950.4876155047227	1057.4479777204178	4225	ENSG00000128595	CALU
ENST00000394077	1582.1940017267402	1994.4217827841328	2254.314029201622	1584.7600503732187	2339.530558091517	2476.4656845935424	560	ENSG00000114391	RPL24
ENST00000678766	1578.2873498706247	1220.647768823181	1250.1502314406607	1627.1479378292754	1295.188689709308	1249.7112463968572	3780	ENSG00000150093	ITGB1
ENST00000242465	1565.2651770169066	1575.0648847483967	1607.336011852278	1506.8210315024046	1378.8042968183408	1507.975338648791	1217	ENSG00000122862	SRGN
ENST00000443816	1558.754090590048	1138.0971983437053	712.1251093741049	1710.5563615331291	1740.5697806370144	1467.8009242984901	7762	ENSG00000115414	FN1
ENST00000563390	1549.638569592445	1827.1192932790623	2134.1288766731855	1387.8614763837938	1889.0301442795833	1942.7198939395462	525	ENSG00000134419	RPS15A
ENST00000424576	1549.638569592445	1696.1390547849608	2103.8017821099343	1521.8618947932634	1709.8538433316555	1845.1534590888155	1074	ENSG00000089009	RPL6
ENST00000216146	1535.3141794533556	1691.736357692722	1464.686344832544	1248.3916531412845	1677.4314650648876	1766.2394309007248	1296	ENSG00000100316	RPL3
ENST00000401609	1535.3141794533556	1691.736357692722	1464.686344832544	1248.3916531412845	1677.4314650648876	1766.2394309007248	1289	ENSG00000100316	RPL3
ENST00000316448	1523.5942238850093	1166.7147294432568	934.5238028379421	1080.2074545253174	1069.9384828033412	1305.6684663847764	1901	ENSG00000179218	CALR
ENST00000435983	1518.3853547435217	1840.3273845557783	2385.731438975708	1352.3103449690366	1829.3047106302745	2004.4163159775082	620	ENSG00000144713	RPL32
ENST00000541179	1502.75874731906	1779.7902995374968	2086.953396241462	2923.3968832596565	2907.77539824066	3091.995104460652	3214	ENSG00000133110	POSTN
ENST00000334828	1457.181142331047	1583.870278932874	1867.9243799513192	1231.9834386421658	1291.7758077864903	1245.4068448593252	1802	ENSG00000171314	PGAM1
ENST00000394665	1457.181142331047	1870.04558992839	2291.380478112262	1534.1680556676026	2093.803059648644	2289.941617967146	529	ENSG00000109475	RPL34
ENST00000253788	1424.625710196752	1919.5759322160752	2358.774021586152	1316.7592135542793	1578.4578893031746	2279.898014379571	505	ENSG00000131469	RPL27
ENST00000336023	1399.8835817746879	1849.1327787402558	1907.2372803110886	1141.7382588970127	1075.057805687568	1216.7108346091102	1627	ENSG00000123416	TUBA1B
ENST00000646370	1397.2791472039441	1659.8168037739915	1628.6773006190094	1070.6359960674981	1163.7927356808273	1057.4479777204178	1837	ENSG00000074800	ENO1
ENST00000630979	1395.9769299185723	1729.1592829767512	1862.308251328495	1420.677905382031	1772.9921589037824	1856.6318631889017	887	ENSG00000280858	RPL7A
ENST00000396651	1394.6747126332004	1702.743100423319	1947.6734063954227	1242.922248308245	1522.145337576683	1618.4549781121182	778	ENSG00000142937	RPS8
ENST00000323345	1379.048105208739	1729.1592829767512	1862.308251328495	1439.8208222976698	1795.1758914020975	1856.6318631889017	887	ENSG00000148303	RPL7A
ENST00000234590	1358.2126286427902	1645.5080382242156	1628.6773006190094	1089.7789129831365	1119.4252706841976	1114.8399982208475	1781	ENSG00000074800	ENO1
ENST00000527344	1346.492673074444	1577.2662332945158	1472.5489249044979	1476.739304920687	1820.7725058232304	1665.8033950249728	962	ENSG00000172757	CFL1
ENST00000304636	1337.3771520768412	740.753785769162	694.1534977810677	2483.10979419997	3184.218833988891	2347.333638467576	5490	ENSG00000168542	COL3A1
ENST00000600467	1336.0749347914696	1625.6959013091416	1997.095338276275	1160.8811758126512	1539.2097471907716	1749.021824750596	668	ENSG00000105372	RPS19
ENST00000361436	1328.2616310792387	1968.0056002307012	2217.2475802909826	1257.9631115991037	1807.1209781319592	1962.8071011146965	634	ENSG00000197958	RPL12
ENST00000549920	1298.3106335156874	1826.018619006003	1985.8630810306272	1394.6982324250932	2138.170524645274	2317.20282770485	643	ENSG00000063177	RPL18
ENST00000485390	1274.8707223789947	1511.2257769109353	1802.777287926559	1223.7793313926065	1452.181258158921	1579.715364274328	1115	ENSG00000142937	RPS8
ENST00000321562	1267.057418666764	966.3920117463956	771.656072776041	1140.3709076887528	1156.966971835192	908.2287244193004	2585	ENSG00000141756	FKBP10
ENST00000379757	1251.4308112423025	867.3313271710248	888.4715481307838	2794.8658696832263	1564.8063616119043	1786.3266380758753	2938	ENSG00000239264	TXNDC5
ENST00000302182	1248.8263766715588	1360.4334015017596	1343.3779665795416	1190.962902394369	1470.952108734418	1505.1057376237698	933	ENSG00000170315	UBB
ENST00000488500	1242.3152902446998	1124.889107066989	846.9121963218851	1181.3914439365496	1080.1771285717944	1143.5360084710624	1825	ENSG00000156508	EEF1A1
ENST00000521466	1241.013072959328	1488.1116171766823	1674.7295553261679	1160.8811758126512	1484.6036364256893	1994.372712389933	592	ENSG00000164587	RPS14
ENST00000406022	1241.013072959328	1883.253681205106	1553.4211770731658	1214.207872934787	1795.1758914020975	1949.8938965020998	748	ENSG00000147403	RPL10
ENST00000378026	1224.0842482494945	884.9421155399796	813.21542458494	1253.861057974324	819.0916614762422	800.6186859809947	3121	ENSG00000136026	CKAP4
ENST00000396953	1224.0842482494945	1557.4540963794414	1603.9663346785835	1156.7791221878715	1477.7778725800533	1657.1945919499085	1734	ENSG00000144713	RPL32
ENST00000357790	1222.7820309641224	1635.6019697666786	1585.994723085546	913.39060711761	1860.0206479356332	1777.7178350008107	445	ENSG00000137818	RPLP1
ENST00000202773	1201.9465543981737	1437.480600615937	1729.7676158298448	1162.248527020911	1307.1337764391694	1581.1501647868388	921	ENSG00000089009	RPL6
ENST00000593863	1198.0399025420584	1595.9776959365304	1663.4972980805196	1014.5745965288424	1400.988029316656	1604.106972987011	526	ENSG00000105372	RPS19
ENST00000266085	1179.8088605468533	1011.5196569418423	897.4573539273026	1472.6372512959072	1162.0862947194187	1087.5787884831432	4597	ENSG00000100234	TIMP3
ENST00000358278	1161.5778185516479	1666.4208494123498	1361.3495781725794	2161.782260258895	2346.3563219371517	2565.4233163692084	1717	ENSG00000140416	TPM1
ENST00000512690	1145.9512111271863	1374.7421670515353	1561.28375714512	1345.4735889277372	1402.694470278065	1645.7161878498223	845	ENSG00000145425	RPS3A
ENST00000322203	1144.6489938418144	1287.788899479821	1527.5869854081743	1018.676650153622	1317.3724222076225	1427.6265099481896	718	ENSG00000198755	RPL10A
ENST00000464112	1144.6489938418144	1175.5201236277342	1435.482475993858	1088.4115617748766	1075.057805687568	1165.0580161587236	1063	ENSG00000198755	RPL10A
ENST00000579408	1119.9068654197501	1278.9835052953435	1500.6295680186186	1186.8608487695892	1370.2720920112968	1311.4076684348195	859	ENSG00000265681	RPL17
ENST00000434494	1116.0002135636348	824.4050305216974	475.1244814909249	1088.4115617748766	1119.4252706841976	753.2702690681401	2107	ENSG00000167004	PDIA3
ENST00000225831	1114.697996278263	1222.8491173693003	1132.211530361353	1456.2290367967885	3054.529320921819	3401.912015162972	741	ENSG00000108691	CCL2
ENST00000644185	1112.0935617075195	1324.1111504907901	1508.4921480905725	1104.8197762739956	1382.2171787411587	1311.4076684348195	824	ENSG00000174748	RPL15
ENST00000506397	1102.978040709917	1319.7084533985517	1546.6818227257768	1035.0848646527409	1685.9636698719316	1658.6293924624188	549	ENSG00000109475	RPL34
ENST00000529639	1101.6758234245451	1352.728681590342	1526.4637596836099	1005.0031380710232	1435.1168485448325	1507.975338648791	506	ENSG00000149806	FAU
ENST00000196061	1100.373606139173	867.3313271710248	825.5709075551532	1044.65632311056	938.5425287748608	902.4895223692574	2976	ENSG00000083444	PLOD1
ENST00000417088	1091.2580851415705	966.3920117463956	1297.3257118723834	862.7986124119941	650.1540062967672	680.0954429300923	334	ENSG00000233927	RPS28
ENST00000416518	1079.5381295732243	1480.4068972652647	1241.1644256441416	1051.4930791518595	1438.52973046765	1601.2373719619893	812	ENSG00000188846	RPL14
ENST00000217652	1069.12039129025	1371.4401442323565	1503.9992451923133	1099.350371440956	1370.2720920112968	1391.756497135421	958	ENSG00000101608	MYL12A
ENST00000379056	1045.6804801535575	1028.0297710377374	1250.1502314406607	1207.3711168934876	1201.334436831822	1371.6692899602706	1101	ENSG00000133112	TPT1
ENST00000321153	1031.3560900144676	1930.582674946672	1310.8044205671622	1110.289181107035	1733.7440167913794	1842.2838580637945	462	ENSG00000177600	RPLP2
ENST00000421017	1030.053872729096	1603.682415847948	1520.8476310607855	1026.8807574031814	1052.8740731892528	1133.492404883487	1444	ENSG00000182718	ANXA2
ENST00000221975	1030.053872729096	1349.426658771163	1470.3024734553683	873.7374220780731	1264.4727524039486	1460.6269217359368	500	ENSG00000105372	RPS19
ENST00000398606	1020.9383517314934	1221.7484430962406	1357.9799009988847	998.1663820297236	1267.8856343267664	1216.7108346091102	741	ENSG00000084207	GSTP1
ENST00000512737	1018.3339171607496	1130.3924784322874	1208.5908796317617	939.3702800745481	1122.8381526070152	1054.5783766953962	690	ENSG00000243678	NME2
ENST00000225430	1014.4272653046341	1312.003733487134	1295.0792604232538	983.1255187388648	1382.2171787411587	1186.5800238463846	737	ENSG00000108298	RPL19
ENST00000270645	1007.9161788777752	812.2976135180411	744.698655386485	898.3497438267513	976.0842299258552	684.3998444676245	1469	ENSG00000142552	RCN3
ENST00000677310	1007.9161788777752	975.1974059308732	681.7980148108544	1081.5748057335773	800.320810900745	1015.8387628576061	4010	ENSG00000150093	ITGB1
ENST00000263341	993.5917887386855	1023.6270739454989	1029.997989425953	561.981346594817	737.182495328618	820.7058931561451	1507	ENSG00000125538	IL1B
ENST00000326577	989.6851368825701	920.1636922778891	963.7276716766279	1292.1468918056012	919.7716781993636	909.6635249318111	977	ENSG00000006327	TNFRSF12A
ENST00000559133	972.7563121727367	772.6733396878926	615.5276970615292	762.9819742090217	617.7316280299992	608.3554173045551	4901	ENSG00000166147	FBN1
ENST00000617731	963.6407911751339	1428.6752064314594	1523.0940825099153	984.4928699471245	1445.3554943132856	1543.8453514615599	592	ENSG00000278229	RPS17
ENST00000579248	961.0363566043904	1297.6949679373581	1502.8760194677484	834.0842370385361	856.6333626272366	998.6211567074772	790	ENSG00000265681	RPL17
ENST00000394920	949.3164010360441	1269.0774368378065	1214.2070082545858	873.7374220780731	1187.6829091405511	1324.320873047416	965	ENSG00000161016	RPL8
ENST00000402285	949.3164010360441	1122.6877585208697	1180.5102365176408	788.9616471659597	1126.251034529833	1179.4060212838308	705	ENSG00000143947	RPS27A
ENST00000527673	934.9920108969543	1206.339003273405	1343.3779665795416	1013.2072453205825	1254.2341066354957	1370.2344894477599	483	ENSG00000118181	RPS25
ENST00000628770	934.9920108969543	1206.339003273405	1343.3779665795416	1013.2072453205825	1254.2341066354957	1370.2344894477599	483	ENSG00000280831	RPS25
ENST00000504325	933.6897936115826	1288.8895737528808	1238.9179741950124	985.8602211553845	1307.1337764391694	1324.320873047416	1098	ENSG00000204628	RACK1
ENST00000358435	919.3654034724927	1090.7682046021391	1215.3302339791508	913.39060711761	1348.0883595129817	1202.3628294840025	434	ENSG00000196683	TOMM7
ENST00000645674	915.4587516163773	1297.6949679373581	1480.4115049764519	999.5337332379837	849.8075987816013	1202.3628294840025	732	ENSG00000171863	RPS7
ENST00000647841	906.3432306187747	1336.218567494447	1382.690866939311	828.6148322054967	1329.3175089374847	1436.2353130232539	488	ENSG00000182774	RPS17
ENST00000568588	903.738796048031	1391.2522811474305	1083.9128242050651	767.0840278338013	1322.4917450918492	1681.5862006625907	1864	ENSG00000174444	RPL4
ENST00000391976	902.4365787626592	755.062551318938	381.8967463520436	821.7780761641973	668.9248568722644	596.8770132044691	4489	ENSG00000115677	HDLBP
ENST00000601521	895.9254923358002	1094.0702274213181	1244.5341028178366	883.3088805358924	1098.9479791472916	1117.7095992458687	1203	ENSG00000083845	RPS5
ENST00000339995	889.4144059089411	749.5591799536395	598.6793111930566	849.1251003293951	675.7506207178998	667.1822383174955	3794	ENSG00000110321	EIF4G2
ENST00000334701	881.6011021967104	980.7007772961714	988.4386376170542	853.2271539541746	452.20685477334206	525.136987578932	3510	ENSG00000080824	HSP90AA1
ENST00000196551	877.694450340595	1063.2513477756472	1227.685716949364	808.1045640815983	1051.167632227844	1117.7095992458687	741	ENSG00000083845	RPS5
ENST00000409840	876.3922330552232	653.8005181974476	664.9496289423819	2049.659461181583	3213.228330332842	2868.1662245089756	2569	ENSG00000135919	SERPINE2
ENST00000378292	875.0900157698513	1055.5466278642295	1003.040572036397	813.5739689146377	1087.0028924174296	1183.7104228213632	1182	ENSG00000198467	TPM2
ENST00000526895	869.881146628364	1086.3655075099005	1163.6618506491682	836.818939455056	1150.1412079895567	1255.4504484469005	561	ENSG00000110700	RPS13
ENST00000550697	868.5789293429924	1066.5533705948264	1008.6567006592211	1076.1054009005375	1341.2625956673464	1338.6688781725234	708	ENSG00000092841	MYL6
ENST00000466397	863.370060201505	1042.3385365875133	1242.287651368707	816.3086713311576	1025.5710178067116	1142.1012079585516	742	ENSG00000162244	RPL29
ENST00000495383	863.370060201505	1034.6338166760956	1251.2734571652254	816.3086713311576	1025.5710178067116	1122.014000783401	713	ENSG00000162244	RPL29
ENST00000394945	859.4634083453898	723.1429974002073	577.3380224263249	1242.922248308245	817.3852205148332	878.0979136565749	4824	ENSG00000152377	SPOCK1
ENST00000211372	856.8589737746461	1063.2513477756472	1282.7237774530406	808.1045640815983	1150.1412079895567	1167.9276171837448	613	ENSG00000096150	RPS18
ENST00000434122	856.8589737746461	1063.2513477756472	1282.7237774530406	808.1045640815983	1150.1412079895567	1167.9276171837448	613	ENSG00000226225	RPS18
ENST00000454021	856.8589737746461	1063.2513477756472	1282.7237774530406	808.1045640815983	1150.1412079895567	1167.9276171837448	613	ENSG00000235650	RPS18
ENST00000457341	856.8589737746461	1063.2513477756472	1282.7237774530406	808.1045640815983	1150.1412079895567	1167.9276171837448	613	ENSG00000223367	RPS18
ENST00000479017	855.5567564892742	997.2108913920666	1217.5766854282804	787.5942959576997	1013.6259310768497	1111.970397195826	670	ENSG00000162244	RPL29
ENST00000439602	852.9523219185307	1058.8486506834086	1278.2308745547814	804.0025104568185	1150.1412079895567	1163.6232156462127	549	ENSG00000231500	RPS18
ENST00000584577	850.347887347787	1286.6882252067614	1365.8424810708382	814.9413201228978	1365.1527691270703	1444.8441160983184	344	ENSG00000172809	RPL38
ENST00000379743	836.0234972086972	1143.6005697090036	684.044466259984	1684.5766885761911	2397.549550779417	2480.770086131075	3196	ENSG00000133110	POSTN
ENST00000570382	836.0234972086972	1111.681015790273	924.4147713168586	1119.8606395648542	791.7886060937008	1074.6655838705465	2052	ENSG00000184009	ACTG1
ENST00000394934	834.7212799233255	738.5524372230427	719.9876894460588	922.9620655754294	849.8075987816013	862.3151080189565	2830	ENSG00000197746	PSAP
